Response Number,Answer,Therapist
R11,"Absolutely not!  In fact, most people have many issues,  A lot lot of the issues you are describing commonly go hand in hand ( in ""therapy speak"" we call it co-morbid conditions)I would venture that most of the feelings you are struggling with stem from your early trauma.  You would benifit tremendously from counseling!  A good therapist will develope a treatment plan that addresses all of your needs. With help you could definitely live a happy life without all of your anxiety and depression getting in the way!","Wendy MitaWorry less, live more!"
R12,"This is a great question! I personally don't believe that any client could ever have too many issues for counseling. In fact, that type of thinking may be stopping you from seeking counseling, so it may be hindering you from getting the help you need. In fact, all of what you described points to the importance of you seeking help in order to cope with the many challenges in your life. If you seek counseling, it will be important for you to understand that you may need to remain in counseling for a sustained period of time in order to work through each of these issues. All of these issues won't be able to be solved right away or in a brief period of time. Counseling will take commitment and hard work, but it is possible for you to recover and heal from all of the issues you described.Many clients come into counseling with numerous issues rather than just one particular thing. Most of the time, the issues relate to and exacerbate each other. We call these ""comorbid"" conditions, which means that two or more mental health problems exist at one time. A lot of the times, when you start to work on one issue, the other issues get better as a result.I encourage you to find a professional therapist that can help you learn how to cope with all of the mental health difficulties that you described. You deserve the help just as much as anyone else.",Danielle JoelCompassionate Mental Health Care
R13,I don't think there is a thing as too many issues. It just going to take time to get through all of the issues.,Ronica ClarkYou have questions I'm willing to try to give an answer
R14,"No, you do not have too many issues to address in counseling. A lot of people present with multiple issues they want to address, and that shows good insight. Usually in therapy you find that everything is connected together, and the issues are more intertwined than previous thought.","Amber HarrisLife Can Suck, Let's Talk About It. "
R15,"Counselors want to help you process whatever you come into therapy with! They can help guide you with where to start and how to start. Their intake paperwork will ask you questions about your life history so they can help you walk through each area. Don't be afraid to share these things upfront with your therapist so they can set goals with you and help you feel comfortable as you get started. It may take some time to explore the different areas, but that is normal! :)",Amanda Sieg
R16,"You do not have too many issues to address in
counseling. Each concern can be worked thru at a pace that is comfortable for
you with a patient counselor, therapist.  You are valid, and your concerns are valid. You
are worthy and deserve to get the support you desire.",Dr. Meredyth LawrynceServing Clients Nationwide
R17,"I commend you for taking such a brave step in talking about everything you have been through. No one ever has ""too many issues"" to seek therapy and I would be willing to bet that many of these concerns are intertwined and once unraveled great relief is to follow. Best of luck on your journey toward healing. Most times our wounds lead us to the best parts of ourselves.","Ashley ""Ashton"" BernalRenewed Hope Counseling"
R18,"It sounds like you have been through a lot, but in therapy there's no such thing as too many issues. That's what it is there for.  I want to normalize that a lot of people feel they are 'too much' but this isn't true.  A lot of the issues you mentioned are interrelated and may be affecting the other. We are a whole person, and our physical health affects our mental health and vice versa.  Sometimes when you work on one issue in therapy, it can help alleviate some of the other issues.  It is easy to feel overwhelmed with all you have going on but a therapist can also help prioritize some of that and find goals to focus on.",Bethany KelloggPlay Therapist
R19,"Often people feel like they are beyond saving, this is often not true. Finding the right therapist to work on these issues with and having them help. You may benefit from seeing a trauma specialist. If you located in Florida we offer EMDR therapy in-person or online.","Elena Engle, LMHC, EMDRVery Good Counseling"
R20,"You have been through so much - sounds like you are very resilient! And how brave of you to consider exploring counseling for the first time. Based on what you shared, I would encourage you to seek out a therapist who specializes in trauma, which can often show up as depressive and anxiety symptoms, and sleep disturbance later on in life. You do not have too many issues to explore. Often times people come to counseling with multiple things they want to focus on. A good therapist will take the time to help you sift through the topics you'd like to address, see how they might be connected, and help you work through them. Best of luck in your journey to greater mental wellness!","Erin Pritchard, MA, LPCC-S | EMDR IntensivesSea Glass Counseling and Consultation"
R21,"Not at all! Trauma can manifest itself in many ways, such as depression and anxiety. Trauma can also cause sleep issues, nightmares are what I hear about the most but it can also cause insomnia. Many abuse survivors can have low self esteem as well.I would suggest you begin treatment with handling the symptoms that are causing you the most issues. Learning how to regulate your emotions and tolerate distress will give you the building blocks to begin getting to the underlying cause which is the trauma. Once you process the trauma from the abuse and the medical issues, you should begin to feel better about yourself and feel better physically as well.",Robert Wade
R22,"I’m wondering if you are thinking that you’d be inconveniencing the therapist by bringing too many issues to the sessions? The reality is that it’s actually very common for a person to come to therapy with a whole host of issues. In fact, it’s encouraged to go to therapy if there is a lot of stuff to work through. You would not be inconveniencing the therapist at all and I would really like you to consider beginning therapy with a clinician that you feel comfortable with. Best of luck to you!","Gayle WeillSpecializing in relationships and parenting - additional certifications in Child-parent psychotherapy, Circle of Security-Parenting program, adoption competency, hypnosis, and EMDR"
R23,First you say I have so many issues then you say I've been happily married for almost 35 years ( as it is past tense).   Most counselors/therapists have multiple education or experience in areas.  It is about YOU.  Finding more about yourself.  You would enjoy it cause it allows finally an investment for yourself and a guide.   Don't you sometimes look at your nails or hair its been a long time since you got them professional care.  You been happily together with them for 35 years right.  But how does it feel when you have someone else guide and bring new energy to your hair and nails and you feel like a million bucks and amazing when you walk out.  Right?  Something to think about.  ✨🙏,"Dr Traci KochendorferTime for you to "" Claim IT"" with over 15 years in health and wellness, Ph.D Psy.D D.D. F.P.L.C. recognized on TV and Magazines,"
R24,"Not possible! Your therapist will help you prioritize your treatment goals and often, those ""issues"" are intertwined and as you address one problem, another may resolve or become less problematic.",Beverly PedrocheAccepting New Patients
R25,"Wow, that sounds really overwhelming. No, there are never too many or too little problems for therapy. I am a big advocate for picking the most pressing issue and putting our energy towards that to cope and then when feeling better, we can move on to the next thing. We can't be solve all issues at one time. We can take baby steps, but we will get there.",Emily LaFaveYou're probably wondering how I can help you?
R26,"No, you don't have too many issues to address in counseling. Humans are complex, and just based on the little bit of information you have shared, it sounds like you have likely experienced quite a bit of trauma in your life. When we experience traumatic events (such as sexual abuse, surviving cancer) it has an impact on our mood and thoughts about ourselves. As a trauma specialist & EMDR therapist, I often have clients who have experienced a lot of difficult things in their life and may be entering therapy for the first time. The process of healing and learning more adaptive beliefs and coping strategies takes time, but it is never too late to start!",Jennifer Jenkins-BoitnottEMDRIA Approved Consultant & Certified EMDR Therapist
R27,"It can feel overwhelming sometimes when we reach a point in our lives when we say to ourselves; I think I want and/or need counseling.  This is especially true if we feel we have so many ""issues"" to work through and cover with a therapist that we may feel like we would not know where to even begin. We may feel that way because of our trauma in the past and our current problems, however, this should not stop you. When you work with a trained therapist, especially one who has experience working with your particular  issues that are impacting you the most you will find that little by little over time they can be worked through in counseling sessions with a therapist. Therapy is often not a linear process but more cyclical in nature and sometimes working on the most pressing things that are impacting your life helps to put others things into perspective. So to answer your question, no you do not have too many issues to address in counseling, despite feeling overwhelmed by this. Just unpack one thing at a time! Good luck!","Tara Green, LCSWFeel alive again; solution focused and goal oriented therapy"
R28,"If you feel like you're too much, you need someone who doesn't feel like you are. Guess what?? That's what therapists are for. You are not too much! You don't have too much to work on! You are on the right platform! We are all here to help. Find someone and schedule a session. EMDR/Brainspotting for trauma, anxiety and low-self esteem issues, etc. LENS (Low Energy Neurofeedback System) for the insomnia, or you could do a sleep study to see why you can't sleep. Hope this helps!","Michele RameyMRTherapy, LLC- Because Help Is One Of A Kind"
R29,"First, thank you for being open and vulnerable by sharing with us online. Second, many of these ""issues"" you have mentioned are all interconnected. Often my clients have found that addressing past traumas helps diminish their depression. Which in turn can diminish the anxiety.  The first step to wellness is to take a chance on ourselves and seek out a clinician we can connect with. Namaste",Philippe BowerHealing with Philippe
R30,"Absolutely not! A lot of the issues that have been identified are strongly correlated to each other. Sometimes when you start therapy and 'address' the first issue, it helps decrease the severity of the other issues.",Sara BakerLet me help YOU accomplish your goals and develop a better life worth living. 
R31,"I want to assure you that there is no such thing as having too many issues for counseling.When you decide to see a therapist, make sure to find someone who has expertise in each of these problem areas you mentioned. In your first therapy appointment, they will take a history of everything you just shared and more to help you determine goals for treatment.You and your therapist will agree upon how often you’ll meet to get started working toward those goals. You and your therapist will likely prioritize what to focus on first to help you get the most benefit from therapy as quickly as possible. Then, as you meet therapy goals, you will likely move on to others.If it seems daunting or overwhelming, keep in mind that as you work on your trauma history, for example, you may notice that anxiety, depression and self-esteem issues improve. And as you work on psychological issues, your physical issues — like insomnia — may decrease.Lastly, it sounds like you have a loving, supportive partner, which is a mental health protective factor and a possible determinant of a more successful therapy outcome. It’s never too late to get started improving your mental wellness. I hope you reach out soon and get the support you so deserve.","Natalie Moore | Holistic Therapy🛋 For creative, ambitious millennials"
R32,No you can never have to many issues for counseling thatis why we have counseling around so we can help you with your problems,Christopher NoahHere to help in anyway I can
R33,"Absolutely not! It sounds like you have had a quite a lot of traumas in your life. Those traumas do not mean you have too many for therapy, but rather that you could possibly benefit from therapy more. Having numerous issues just means you might need to be in therapy for a bit to work through them. An experienced therapist can help you sift through all you have been through to find what is causing you the most distress. Good Luck!",Ryan LynchCertified Sex Therapist
R34,"I am so impressed to hear that despite all that you have endured, you're open to and asking about therapy! That. Is. Incredible.I don't believe there is a person who has ""too many"" struggles or is ""too far gone"" for therapy. Often, our numerous struggles are like the roots that grow from a plant bulb. They're are a lot, but they all lead back to the bulb. That is, we can have many symptoms and experiences that are often rooted from a few deep, primary issues that, once addressed, can resolve more than one symptom/experience like the image below illustrates.","Abigail EckI'm so grateful you're here. Finding a therapist is scary, so I'd like to make this comfortable for you."
R35,"Thank you for sharing your experiences and for being vulnerable. The answer to your question is no, you don't have too many issues to address in counseling. Therapy is designed to provide you with that safe and non-judgmental space, where you can share everything and anything you wish you share and as raw as it needs to be. Being open and vulnerable is incredibly courageous and can bring you a lot of healing. I encourage you to start counseling and to not be afraid to share at your own pace.",Mishka KimballHealing & Transformation Are Waiting for You.
R36,"You can never have too many issues to address I'm counseling!  In fact, I wish more people would come in sooner than later (or not at all) but I always say better late than never.  I think you will discover how everything you're experiencing makes sense when you connect the dots with your therapist.  Depression, anxiety, sleep disturbances, and low self esteem can all be symptoms of trauma/sexual abuse.  Your counselor will do an assessment and talk with you about your goals to develop a treatment plan.  Always make sure your therapist feels like a good fit, because research has shown that the therapeutic relationship is the most important factor regardless of the theoretical orientation or treatment modality.",Ashton SullivanDialectical Behavior Therapy and EMDR
R37,"Starting counseling, and bringing in a lot can feel overwhelming; like you've brought too many full suitcases and it's scary to think about opening them all.  My strategy would be to help you take inventory of all the areas you'd like to eventually work on and then prioritize what you'd like to work on first.  We would just focus on what seems manageable to work on, for now (what suitcase do you want to open, and how much do you want to unpack?)   Often times, symptoms have similar root issues, so once you start to work on one area and it gets better, other symptoms can get better too.  Being a breast cancer survivor you already have a chest of skills and tools that have helped you get through!  It's likely those skills can be applied in other areas for healing.","Jessica Fealk, MA, LPCwww.dalycounseling.com (Michigan)"
R38,"I don't think there is such a thing as having too much or too little issues for therapy. Humans are very complex and our life story varies on the individual. Our complexities have connections and oftentimes in therapy, seeking help for one struggle may have a positive impact on another. It is never too late to seek help from a professional We are never too complex for help.","Patrick Santilli, LPCCTelehealth Therapist in Ohio"
R39,"Hi,I think at the start of counseling it is very common to experience our live in this way. The weight we carry is such a burden, overwhelming, and completely out of control. Or at least it would be if we let it. Usually we have found a way to deal with these feelings and keep ourselves under tight control, even if we can feel ourselves slipping further and further away. Throughout therapy, it is likely you will work through much of this, slowly but surely, and realize that while the way you have coped was useful to you at one time, it isn’t useful to you anymore. I hope this helps.",Kevin MimmsBuilding Better Connections
R40,"I believe you can never have too many issues for counseling.  If such is the case, what would be the alternative?  Not seek help at all?  It is important to understand that counseling is a journey.  Counseling is not about getting ""fixed,"" but instead about self-exploration, self-discovery, and empowerment.  I seek to support my clients in all of those areas by helping them see their problems from a different perspective and gently challenging them for better.",Whitney JenningsGet unstuck and show up as your best self in life.
R41,"This is a common worry clients have about counseling. Something that can be helpful to remember is that what we're seeing as different issues often have a theme or are connected in some way. For example, the sexual abuse and cancer history you shared have similar traumatic and stressful effects on the mind and body, and insomnia can be exacerbated by the longer-term effects of what you've been through. Similarly, anxiety and depression are different ways our pain and distress presents itself but have underlying connections - sometimes they're even connected to the same trauma response. The hope is that you'll have a counselor who can help you explore these different areas of wellbeing, and facilitate a process of putting the puzzle pieces together while creating space to discover what you need in order to find some liberation and healing from the issues you've named.",Jessica FrenchCompassion-Focused Therapist
R42,"It feels overwhelming right? Like if I have this many issues and I can't deal with them, how can somebody else... yet for a decent therapist, your issues are totally doable. It will take time, therapy is not a magic cure, but if you are patient with yourself, you can move through each of the issues. Some of the issues like the sexual abuse and some of the trauma from being a breast cancer survivor can be dealt with a little more quickly using an eye movement therapy like EMDR or Accelerated Resolution Therapy. Some you are going to have to feel the pain and learn coping strategies. Know that you are not a lost cause and there are people that come in ALL the TIME with just as many issues, if not more. Counseling can initially feel scary, overwhelming and so completely vulnerable, which is exceptionally difficult for sexual abuse survivors. Just know, the hardest part is often taking that first step to get help, and knowing that there is somebody willing and happy to support you as you get emotionally healthier.","Laura Zane-NwagbaraochaEmpath, Authentic, Therapist, Wife, Mom"
R43,"Since you have not had counseling for any of these issues, I would encourage you to do so. During your initial visit, a therapist will gather data about your presenting problem and symptoms, medical history, as well as any significant events that have occurred in your life such as abuse, parental separation or divorce  and so forth. During the sessions, a competent therapist will ask you what issue you want to address first. Part of your treatment plan will not only include your diagnosis but also other areas of your life that need clinical attention and that can be considered additional stressors. During the sessions, you will most likely explore the sources of your depression and anxiety as well as your trauma history. Sexual abuse is often challenging to discuss particularly if you have never talked to anyone about it.However,if the  therapist strives to create an emotionally safe environment, no matter how many issues you believe you have, you will feel supported to reveal your psychological distress layer by layer.",Audrey ONealBi-lingual Psychotherapist and HeartMath Certified Practitioner
R44,"Absolutely not.  Whatever problems you are facing, I promise you there are others out there facing the same problems and counseling can help.  The right therapist is out there.  What is it that bothers you the most right here and right now?  That answer may change from day to day or moment to moment and that's ok too.  As you go through therapy, you may find that as you work on one thing, others seem to be less significant.  Sexual abuse, cancer, and insomnia are in no way insignificant, but each one may be easier to handle as you deal with the others.  For example, reprocessing sexual trauma might improve your sleep, and both may even improve your relationship.  Congratulations on 35 years!Start with small goals.  Remember, the only way to eat an elephant is one bite at a time.",JOSH MARLAR
R45,"There is no such thing as too many issues for counseling.  Many people come in with a variety of issues and sometimes we discover other underlying issues.  As you begin therapy, you will be able to explore your history with your therapist and come up with what you would like to focus on first or what appears to be most important.  This is your therapy and you get to decide what is focused on in it.",Amanda SamuelsCo-Parenting and Infidelity Couples Counseling
R46,"In short, no you do not have too many issues to address for counseling. You and your counselor should work closely together in order to prioritize. Typically anyone coming to therapy has more than one underlying issue. It’s rare that someone comes with just one concern to address. There are so many things throughout life that contribute to our current circumstances. Your therapist shall be prepared to address what you feel is most important and work from there. Hope this helps.",Briana ThomasFamily and Other Relationships 
R47,"Absolutely not. It's actually quite rare for someone to come in to therapy for ""just one thing."" More often than not, even people who seek out therapy ""just for anxiety"" often find a host of other related things when they start peeling back the layers in therapy.When clients come to me with a list of things like this, our first step is to put it all out there and THEN to work on finding the ""constellation."" All of these things tie together to form a more complete picture of who you are and how your experiences have impacted you and have led to other experiences. For example, many clients find it helpful to understand how a history of sexual abuse can increase the likelihood of developing insomnia. Seeing how everything ties together often helps people to slow down and take a step back from the tendency to take each of these struggles as a personal flaw or failure and to see how the whole picture fits. Plus, on the upside, once you've started to piece together the larger picture, you can use that to decide where to begin. Once you begin learning skills you can apply to one area, often times those same skills can be applied to other concerns with just a little variation. For example, the skills required to process through the beliefs you developed as a result of sexual abuse so that you can start shifting your mindset to more helpful perspectives is actually the same skills you can use to change the thought processes that maintain insomnia. So the skills can be generalized relatively easily!As long as you're still breathing, there's no such thing as too far gone.","Candice Conroy, LMHCFind relief from anxiety, depression, and trauma."
R48,"It sounds like you fear that you may burden your counselor or you will be too much for them to handle.  That fear is very normal, and that doesn't mean it is true.  It speaks to the fact that you are very human with a multitude of experiences that maybe don't fit into one neat and tidy category; however, it may be worth your time to explore if there is a theme that ties your experiences together (e.g., fear of death, fear of loss, etc.).  When I first see clients, I want to know how they perceive seeing a counselor and the things they fear about the process.  It sounds like you may benefit from voicing and processing through these concerns with a counselor you feel is a good fit for you and your needs.  It's also important to note that you are already a great candidate based on your question: you seem to have interest in seeking help, enough motivation to ask questions about counseling, and courage to put some tough stuff out there (despite anonymity).  Those are all reasons you are already a wonderful fit for counseling!","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
R49,Hi! Many people begin their therapeutic journey with histories just like yours and experience transformative shifts in their quality of life.  I hope you are able to find a counselor you feel comfortable working with and do the work if you feel called. Best of luck on your journey!,"Olivia ClearHonor your spirit, clarify your vision, align with your purpose."
R50,"Absolutely not. It sounds like you have significant trauma and it will continue to impact your depression until it is dealt with. Everybody has issues, though some more traumatic than others yet it is best to just start somewhere. I would encourage you to begin counseling and work through some of your history at your own pace in order to begin to impact and reduce your depressive symptoms.",Heidi SchnakenbergSpecializing in family relationships specifically adolescents with conduct issues 
R51,"Most clients have many issues that need working out. It is normal to have many events in our lives that trouble us and remain with us without counseling help. The right type of counsellor will help you focus on the main and most troubling issue you have first and work your way through all that you are managing step by step, goal by goal. Sometimes, working on  one issue helps to bring other issues to light in the context of your main problem. This can help you resolve some other issues that are connected. Look for someone with experience and specialty in your most pressing issue...even though you have had breast cancer, you may find that grief from your past is more troubling. Then you would look for a bereavement or grief specialist.","Wendy GagneCouples, Parenting, Anger and ADHD"
R52,Just go! You start with the most prevalent issue by talking with your therapist. Healing one issue can have a ripple effect and heal other issues as well.,Dr. Melissa ValentinaHonor Yourself and Live Your Truth
R53,There is no such thing as too many issues for counseling. Many issues are often interrelated and can all be worked on with some time and patience.,Kerri ScullyLicensed Professional Counselor
R54,"Hi, people who have only a few issues and people who have several issues are perfect for therapy. There is no such thing as having too many problems for therapy. Therapy is great because it will help you process all that you are going through, heal from past and present pain, and gain clarity.","Tasha HunterTrauma Therapist in Goldsboro, NC"
R55,"Yeah, you might :)At least, it certainly feels like that, I bet...Not to mention that most counselors out there might generally feel overwhelmed with a ""case"" with so many problems.  And, so, you will slog along week-to-week with gradual improvements occurring as she slowly does her best to chip away...The real issue is that these folks don't yet comprehend the integrative nature of each of these subjects and how generally simple it is to understand them, and then eradicate them.","Dr. Timothy Paul'man'; Online - ""Natural Health Consultant and Coach"""
R56,"It could be said that you might be the perfect candidate for counseling! No one is beyond hope, and someone brave enough to be honest regarding their struggles, with the intention of reaching out for help is certainly a person a qualified counselor would be happy to assist. You may want to do some research on therapists in your local area who specialize in mind-body connection, or one of the struggles you have acknowledged in your post, in order to find a therapist that is best suited to meet your needs. Good luck on your search, and remember that the world is a better place with you in it.","Leonard PikaardWhen you're ready, help is here."
R57,"No, there are never too many issues to address in counseling.  Therapy would begin by prioritizing what you feel needs to be addressed first.  As one area improves, such as processing history of abuse you are likely to see improvement in other areas of your life...like sleeping better.",Michelle BarnhartPhoenix Rising Counseling
R58,"Firstly, I would like to say how amazing that you have been able to live through breast cancer, sexual abuse as well as your depression and anxiety. You are stronger than you may believe at this moment for being able to continue to grow and live through these experiences. Take a moment to acknowledge your strength and know that this strength will be an asset during the therapeutic process that you will be able to tap into to find increased self esteem and more strength to address the concerns you are having. There are never too many concerns to address in therapy sessions. I hope you can find a great therapist who you can trust to listen and work with you to identify and address
the most concerning issues first. Once you begin to do this you may find an alleviation of symptoms and feelings which could allow you to grow your capacity to manage difficult feelings and situations and address additional concerns. Before you even realize it the issues you are having will begin to feel more manageable.",Ivy GrossHelping Individuals Heal and Grow
R59,Absolutely not! It is never too much. The most important thing is that you are reaching out to get help.  Therapy helps you to develop healthier coping strategies and that can help reduce the anxiety and depression as well as improve your sleep. This can all be done at a pace that is best for you. Your therapist can help you process all of this in a safe and supportive space.,Tanya HernandezHelping you to overcome overwhelm and jump back into life! 
R60,"No, it is natural for us to have a number of issues going on if we don't address the concerns we have in our lives. Seeking counseling can assist you in working on these issues individually as well as ways in which they intersect and impact each other.","Christina McGrath Fair""Enlightenment is when a wave realizes it is the ocean."" -Thich Nhat Hanh"
R61,"A person never has ""too many"" issues to address in counseling. Participating in counseling with a licensed professional offers a safe place and therapeutic relationship where healing can occur. A trained therapist can help a person unpack and process past and/or current wounds (or events) which may  negatively impact day to day living. They can also help make sense of thoughts and emotions that sometimes feel overwhelming and confusing.  If you want to experience more emotional freedom and gain some tools to help understand and cope with depression and anxiety, I'd encourage you to schedule an appointment with a therapist in your area.",Amy StandiferChristian Sex Therapist and Certified Clinical Trauma Professional
R62,"There is no such things as ""too  many issues"". Many of the issues cited here are connected. For example, in this case working on the sexual abuse will possibly address the depression, the anxiety, the self esteem. There may be some grief to process around the impact of the cancer. Our body, mind and spirit are parts of one system. They are interconnected.Addressing these issue are important so you can be relieved of the burden and feel more spontaneous and enjoy life even more.",Gabriel ThibautTransform your conflicts to strengthen your relationship
R63,"Of course not. Counseling is a process, whereby you and your therapist will help you create goals- starting with issues that are most pressing and interfering with your daily functioning. When anxiety and daily stress is more manageable then you and your therapist can examine more deep rooted or more chronic issues.",Joshua WeinrebCognitive Behavioral & Mindfulness Based Counselor
R64,"You definitely don't have too many issues for counseling. In fact, counseling can help you understand how most of these things can be related to one another. For example, insomnia, depression, low self-esteem and anxiety are very common to experience after a traumatic event or events. Once you begin to work through processing these life altering events that you have experienced, the hope is that you would see a decrease in your other symptoms.",Nikkita StonnerTrauma Guru
R65,"You absolutely do not have too many issues for counselling. The fact that you are wanting to seek help is commendable and you should feel proud of yourself for reaching out for support. I know from my experience working with clients that some may say they have only one issue but when we explore it turns out they have many things that they want to discuss that are of equal importance. I believe that you deserve to feel happy, at ease and also get restful sleep amongst other things. Please do not feel hesitant because the fact that you know what you want to discuss and work on is amazing. You know the directions you want to go and the therapist just needs to help you get there. I suggest sitting down and making a list of what you want to discuss as well as what you feel is more important to address first. Perhaps the therapist can help you with that as well.",Fenny Goyal‘Sahara’ means support and that is what I will do to help you meet your potential
R66,"Thank you for sharing your question.  I imagine it feels overwhelming and discouraging at times if you feel like there are too many issues to address in a counseling session.  I would encourage you to share these concerns with a counselor because a counselor can help you organize the concerns into a list of specific goals.  For example, a list of goals may look similar to this:1.  ""I will learn about the effects of medication on the symptoms of depression and anxiety.""2.  ""I will learn about the factors that affect insomnia.""3.  ""I will learn about resources and support groups in my local area to help me cope with my traumatic experiences.""4.  ""I will practice self-care exercises each day and write about my thoughts and feelings in a journal so I can measure whether or not I""m making progress.""This is an example of some of the possible goals a counselor can help you work toward each week.  Working toward a specific goal can lead to a feeling of accomplishment once you've completed it, and this may have a positive impact on your self-esteem.  I hope this information helps, and I wish you all the best!","Joshua BeaversLicensed Professional Counselor available evenings and weekends in Tulsa, OK. Specializes in family conflict and self-care practices."
