question,response
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","In a way, yes, you have separation anxiety. It's normal in a relationship for us to slow down a bit with the attachment behaviours that establish and deepen love and connection. So, just because your boyfriend isn't talking as much or keeping you up-to-date doesn't necessarily mean what you fear it means...that he's forgotten about you or loves you less. It could mean quite the opposite...that he's focused on being successful in his new job and impressing you. He may think he's loving you more, but you feel loved less. You have two jobs to do here. The first is to manage your anxiety by ""talking back"" to the thoughts it puts into your head. It sounds like ""It's normal to be insecure, but I have tons of evidence that he loves me and that I mean the world to him..."" Find that evidence that helps you refute what anxiety is trying to claim. The second part of your job is to let him know what you need. You need more affection and connection during this period when he's away (more texts, phone calls, information). It's okay to want that, and I am sure he will be relieved to know exactly what he can do to help you feel secure and calm when he's away."
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","You are dealing with a lot of emotions about your relationship and it must be really difficult to be doing that without support.What brings you to believe it's specifically separation anxiety?  Did you feel the same way when he'd leave before the new job?  I'm not saying it isn't, but it sparks my curiosity about what that means to you.  It definitely sounds like you are grieving a pretty significant change in a relationship that you are invested in and a change in a person that you love.  That's so tough.Another thing to remember is that no matter what it looks like, you are coping in some way.  Rumination and worry are both ways of coping.  Crying or retreating from the world is also coping.  What do you want your coping to look like?  Most people want their coping mechanisms to reduce their uncomfortable feelings, so separating what meets that need vs what doesn't can clue you in to what will work best for you.  It doesn't necessarily mean you always have to escape your feelings though.  It's OK to feel everything you are feeling because you're human and you care.  It's also worth noting that his actions (or lack of) are triggering these feelings you have about you.  I don't know enough to speak to where that comes from for you, but how much of what he's choosing or not choosing to do is possibly about him?  When we don't know why someone has changed their behavior toward us, we typically end up blaming ourselves because our brains don't like uncertainty.  The truth could be much different.  The only way to truly know is to express that to him--though that is up to you if you feel like you are in a position to speak your truth to him.Support from other people in your life could help as well.  Maybe someone outside of the relationship can give some unbiased suggestions or even just offer support to you while you are moving through this really rough situation.  One way to look at how you are feeling is that your emotions could be reflective of what you want for your relationship vs what is happening now.  If there is some separation anxiety, maybe that's something that warrants more inner work for you if you so choose.  But it's normal in any relationship to feel upset when our partners aren't meeting our needs.  You probably know best which scenario fits your situation, and maybe it's a little bit of both!If you decide to confront him, speaking with someone you trust to help you with that or seeing a counselor could help to narrow down what you really want him to know and what you need from him.I wish you all the best!"
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","Consider talking with your boyfriend about times that you may be able to talk together while he is away. This way, you have an idea when you'll be able to contact him. Does he recognize the feelings that you have while he is away? How do you feel when you are together with him and he is home?I'm also curious as to how the level of your anxiety (on a scale of 1 to 10, perhaps) changes during the parts of his trips. Maybe there are certain parts that are more or less related to anxiety for you. Perhaps you have less anxiety while working or involved in a specific activity, for example, spending time with friends.When you are both in the same area (when your boyfriend is not traveling), do you do some things independently with friends? Do you know what leads to your anxiety when he is away? I don't know whether it is a general feeling of wanting him to come back or anxiety that something specific will happen to you or him.Do you ever recall feeling this way in your past? If so, what was happening then?What do you have that makes you feel very safe and comfortable?Consider working with a mental health professional in the area. Perhaps it would be helpful for the two of you to meet with a therapist who specializes in couples to see what kind of relationship you want to have and what you can each do to contribute to that relationship. There could be things that you could both start or stop doing to help your relationship move in the direction where you would like it to go. As an example, perhaps you would like a text before your boyfriend goes to bed, no matter what time zone or time of day it is. Perhaps he would prefer a good morning text or call/voicemail from you."
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","I hear how painful this is for you. The shift from constant connection to less communication can feel really destabilizing, especially when you're used to being more intertwined in each other's daily lives. What you're experiencing makes complete sense.
Here are some things that might help:
Reframe what's happening: His new job likely demands different energy and attention. The decrease in updates probably isn't about forgetting you—it's about him adjusting to a demanding new routine. Travel is exhausting, and he may have less mental bandwidth, not less care for you. Try to separate ""he's busier"" from ""he doesn't want me.""
Communicate your needs directly: Instead of breaking up, tell him what you're feeling. Not as an accusation, but as information: ""I miss our regular check-ins. I know your job is demanding, but I'd love to find a rhythm that works for both of us—maybe a nightly call or daily text?"" Be specific about what would help you feel connected.
Build your own life more fully: When someone becomes our primary source of connection and validation, their absence feels catastrophic. This is a chance to invest in friendships, hobbies, routines, and interests that are yours alone. The goal isn't to need him less, but to have a fuller life that doesn't collapse when he's away.
Create connection rituals: Since spontaneous all-day texting isn't realistic anymore, establish predictable touchpoints—a goodnight call, sharing one photo a day, planning something specific for when he returns. Predictability can ease anxiety.
Sit with the discomfort: Separation anxiety often wants us to act (break up, demand more, withdraw) to escape the feeling. Sometimes the most healing thing is to notice the anxiety, acknowledge it's hard, and choose not to make big decisions from that activated place.
Consider talking to someone: If this anxiety feels overwhelming or shows up in other areas of your life, a therapist could help you understand what's driving it and develop coping skills.
Breaking up might feel like a way to stop hurting, but it sounds like you'd be ending something you value because of a temporary adjustment period. Give yourself and this relationship a chance to adapt to the new normal before making that call."
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?",First step is to tell your boyfriend the reasons you feel upset.This way he has a chance to answer your questions as to why he doesn't keep in touch.His responses will guide your next steps.There is a difference between his unavailability due to a heavy workload or because he has less interest in the relationship.In order to work with his current behavior you first need to find out why it is happening.
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","Dealing with separation anxiety when your partner is out of town can be incredibly challenging, especially when it's a new dynamic in your relationship. Here are some steps you can take to cope and manage your emotions:

1. Open Communication
Talk About Your Feelings: Share your feelings with your boyfriend in a calm and constructive way. Let him know you’re struggling with the distance and feeling disconnected without accusing him. For example, say something like, “I miss you and feel a little disconnected when we don’t talk as much. Can we find a way to stay connected while you’re traveling?”
Set Expectations: Work together to establish ways to stay in touch that work for both of you. Perhaps you can agree on a regular check-in time or send each other little updates throughout the day.
2. Challenge Negative Thoughts
Avoid Assumptions: It’s easy to feel like he’s forgotten about you if communication has decreased, but it might simply be that he’s busy adjusting to the demands of his new job. Remind yourself that his actions likely don’t reflect a lack of care for you.
Practice Self-Compassion: Acknowledge your feelings without judging yourself. It’s okay to feel anxious, and it doesn’t mean you’re being “too clingy.” Separation anxiety is a natural response to change.
3. Engage in Self-Care
Stay Busy: Fill your time with activities that bring you joy or help you grow, such as hobbies, exercise, or learning something new. Staying occupied can help ease feelings of loneliness.
Spend Time with Friends or Family: Lean on your support system to remind yourself that you’re not alone.
Practice Mindfulness: Techniques like meditation or journaling can help you process your emotions and stay grounded.
4. Strengthen Your Sense of Independence
Rediscover Yourself: Use this time apart to focus on your own goals and interests. A strong sense of independence can help reduce anxiety and strengthen your relationship in the long run.
Build Confidence: Remind yourself that you’re capable of thriving even when you’re apart from your boyfriend. This mindset shift can help ease feelings of dependency.
5. Focus on Quality Over Quantity
Prioritize Meaningful Interactions: Instead of worrying about constant updates, focus on making your conversations meaningful. Share highlights or express your love and support when you do talk.
Plan Something to Look Forward To: If possible, plan a date or special activity for when he’s back. Having something to anticipate can make the distance feel more temporary.
6. Seek Professional Support If Needed
If the anxiety feels overwhelming or starts affecting your daily life significantly, consider speaking with a therapist. They can help you develop coping strategies for managing separation anxiety and maintaining a healthy relationship.

7. Reflect on Your Relationship
Assess the Dynamic: If you feel like your boyfriend’s behavior has changed significantly, ask yourself whether it’s just a temporary adjustment to his new job or a deeper issue in your relationship.
Communicate Your Needs: Relationships require mutual effort. If you feel like your needs aren’t being met, it’s okay to express that and discuss how you can both work together to maintain a happy and secure relationship.
Remember:
Separation anxiety is normal, especially when there’s a big life change. By focusing on communication, self-care, and independence, you can strengthen both yourself and your relationship. It’s okay to feel vulnerable, and reaching out for support (from your partner or others) is a sign of strength."
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","I’m so sorry you’re feeling this way. It is completely normal to feel a sense of ""emotional whiplash"" when a relationship dynamic shifts from constant closeness to long-distance travel. That ""lost and unwanted"" feeling usually stems from a disruption in your **secure attachment**—when the routine of connection breaks, your brain sounding an alarm is a natural response.

However, before you make a permanent decision like breaking up, it’s helpful to distinguish between a ""failing relationship"" and a ""failing transition."" Here is how you can cope and regain your footing.

---

### 1. Shift Your Perspective on His Communication
When someone starts a new job that requires travel, their ""bandwidth"" changes drastically. 
* **The Reality Check:** In his old routine, he likely had the mental space to update you constantly. Now, he is navigating new airports, hotel check-ins, client meetings, and high-pressure work environments.
* **The ""Forgotten"" Fallacy:** Just because he isn't narrating his day doesn't mean he isn't thinking of you. To him, he is working to build a future; to you, his silence feels like distance. These are two different ""languages"" of love right now.

### 2. Establish a ""Quality Over Quantity"" Rule
Trying to maintain the same volume of texting as before will only lead to disappointment. Instead, propose a **Communication Anchor**:
* **The Ritual:** Agree on one guaranteed time to talk (e.g., a 15-minute FaceTime before bed). 
* **The Benefit:** Knowing exactly when you will connect lowers anxiety throughout the day because you aren't constantly waiting for a text that may not come.

### 3. Build a ""Solo Identity"" Toolkit
Separation anxiety thrives when our entire world is centered on our partner. Use his time away to ""date yourself"" again:
* **Rediscover Hobbies:** Pick up something you stopped doing because you were spending all your time with him.
* **Social Buffers:** Schedule dinners or movie nights with friends specifically for the days he is gone.
* **Self-Soothing:** When the ""unwanted"" feeling hits, practice grounding exercises. Remind yourself: *""I am safe, I am loved, and his busyness is not a reflection of my worth.""*

### 4. Have the ""Needs vs. Expectations"" Talk
Once he is home and relaxed, have a calm conversation. Avoid accusations like *""You’re ignoring me,""* and try **""I"" statements**:
> ""I’ve been struggling with the transition to your new job. I feel a bit disconnected when we don't check in. Can we find a middle ground that works for your busy schedule but keeps me feeling looped in?""

---

### A Quick Comparison: Anxiety vs. Reality

| If you feel... | Ask yourself... |
| :--- | :--- |
| **""He's forgotten me.""** | Is he actually ignoring me, or is he just working? |
| **""I want to break up.""** | Do I want to leave *him*, or do I just want this *feeling* to stop? |
| **""He's changed.""** | Is he acting differently because he's tired/stressed, or because he's mean? |

**A gentle note:** If your anxiety feels paralyzing or causes you to panic when he doesn't respond quickly, it might be worth speaking to a counselor. They can help you work through **Anxious Attachment** patterns so you can feel secure even when he’s miles away.

What does your typical ""internal monologue"" say when you notice he hasn't texted back for a few hours?"
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","hey, first—i’m really glad you shared this. it takes courage to admit when we’re struggling, and you’re not alone in feeling this way. separation anxiety is *so* common, especially when someone you’re deeply attached to suddenly changes routine. your feelings? totally valid.

  let’s unpack a bit:  
  💬 it sounds like the *distance* isn’t just physical—it’s emotional too, since the daily check-ins have faded. that shift can feel like rejection, even if it’s really just… life getting busy.

  here are a few gentle ways to cope while he’s away:

  🌿 **Create an “anchor ritual”**  
  pick a small thing to do every day that feels comforting and *yours*. light a candle & journal for 5 mins, text a friend silly memes, watch one episode of your comfort show—something that reminds you “hey, I’m still here for me.”

  🧠 **Challenge the story your brain is telling**  
  when loneliness hits hard and thoughts like “he forgot about me” pop up—pause & ask: *is this true? or is it my anxiety speaking?* maybe his silence isn’t about distance from *you*, but him adjusting to new stress/energy demands.

  📱 **Set new connection rhythms (together)**  
  instead of waiting for updates all day, try scheduling one short call or voice note exchange at a time that works for both. lowers pressure + gives something real to look forward to.

   💖 most importantly—you don’t have to choose between loving him and taking care of yourself. in fact—they go hand-in-hand.

   want help drafting a calm message so you two can talk through this without blame or fear?

   i gotchu ✨"
"How do I cope with separation anxiety while boyfriend is out of town? I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to. I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","Relationships at any amount of distance can be so hard! It makes sense that you are encountering more anxiety than usual given that major change in your relationship. And you're right that being separated from our partners can heighten our insecurities and worries about not only our relationship security but about our partner's interest. Have you talked with your boyfriend about this struggle you're feeling? It can be hard to have this kind of conversation without triggering a sense of blame and subsequent defensiveness in our partners, but it really is possible. If you have any concerns about being able to do this, then a session or two with a local counselor or therapist might be really helpful - and it really can be just about finding the way to share what you're feeling.As far as coping with anxiety, there are a lot of options but I highly recommend an app called Self-Help for Anxiety Management. There's so much good information in this app to help you learn to pay attention to what kinds of thoughts are helpful or unhelpful, and there are also lots of activities for calming down and decreasing the intensity of that anxiety. The best part is, it's free!"
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"""Normal"" can be an insidious word to use because it can undermine your sense of worth.  It implies there's one particular way you should be behaving and can leave you feeling crappy and ""abnormal"" if you're not behaving according to that prescribed standard.  Instead, what I'd recommend is to pay attention to your emotional experiences when you're attending therapy.  Explore your feelings and thoughts without judgement and try to reflect and understand what's going on that's causing you anxiety.  Once you figure out the underlying meaning of the anxiety, you can figure out a way to handle it and action steps to take to diminish it."
